COMPANYID,JOBTITLE,COMPANYNAME,RATING,JOBLOCATION,JOBSUMMARY,POSTDATE,EXTRACTIONDATE,POTENTIALCOMPENSATION
52,Windows System Administrator (Remote),WCL Group,,Andover,domain management - group policy creation and deployment. build and maintain windows servers. account management in windows ad and ldap.,6,2022-05-04,$38 - $41 an hour
53,Product Management Director,Houghton Mifflin Harcourt,3.5,Boston,location: remote (us) - this position offers remote flexibility with expectations of travel to boston based office 10% of the time.,12,2022-05-04,"$117,000 - $146,500 a year"
54,"Engineer, Operational Technology Security",Liberty,3.8,Londonderry,you will be instrumental in designing and implementing ot technologies with a security-by-design methodology. document and define systems security plans for new…,25,2022-05-04,
55,Senior Information Security Engineer (FULLY REMOTE),The Hanover Insurance Group,3.7,Worcester,"researches, designs, and integrates information security solutions and controls across the enterprise in a way that is transparent to end users, supports…",1,2022-05-04,Full-time
56,Professional Learning Facilitator (CA),Lexia Learning,3.7,Concord,enhance the existing internal training program by adding additional tasks/information and actively coaching those going through internal professional learning.,30,2022-05-04,Full-time
57,Information Security Training Manager,Circle,3.7,Boston,managing the information security awareness training program for circle employees. minimum of 7 years of information security experience.,30,2022-05-04,
58,Business Information Developer Senior,Anthem,3.6,Boston,develops new and standard reports utilizing data warehouse information. your role as a business information developer senior will be instrumental in…,30,2022-05-04,Full-time
59,Associate Support Engineer,"Crunchy Data Solutions, Inc.",,Boston,"crunchy data provides leading cloud native postgres technology including crunchy postgresql for kubernetes and crunchy bridge, a multi-cloud database as a…",30,2022-05-04,Full-time
60,"Manager, Information Systems",Dana-Farber Cancer Institute,4.1,Boston,"broad technical background with hands-on experience and proficiency with widely utilized software development technologies, including php, .",30,2022-05-04,Full-time
61,"Software Product Manager, Identity Management - Remote",Pearson,3.7,Boston,"write, groom, and prioritize users' stories. the product manager for identity management provides leadership for multiple cross-functional software delivery…",1,2022-05-04,"$100,000 - $120,000 a year"
62,Systems Administrator,"Boston Properties, Inc.",4.1,Boston,"responsible for on-boarding/off-boarding users across applications. conduct research on new technologies, products, or solutions.",30,2022-05-04,Full-time
63,Catastrophe Risk Associate (Remote),American Family Mutual Insurance Company,3.7,Boston,homesite’s catastrophe management team is searching for a catastrophe risk analyst who will apply their technical knowledge/skills to support the assessment of…,30,2022-05-04,Full-time
64,Sr Director Platform Integrations and Partnerships,Houghton Mifflin Harcourt,3.5,Boston,"your solutions will be lean, scalable, extensible, and require minimal technical understanding by end-users. location: remote (us) - this position offers remote…",12,2022-05-04,"$144,000 - $180,000 a year"
65,IT Support Specialist II,Stefanini Group,,Boston,individual team members will attend a clients' desk to provide best-in-class technology support or use remote tools to assist clients in remote offices or who…,5,2022-05-04,Full-time
66,Staff Software Engineer - Multi-Cloud - Opportunity for Work...,VMware,4.1,Boston,"experience working with two or more of the following areas: saas, distributed systems, information retrieval, web application development, graphql apis,…",30,2022-05-04,Full-time
67,"Scrum Master (Remote, US Candidates only)","Stratus Technologies, Inc.",3.8,Maynard,"creates, maintains, and shares relevant metrics and charts that are important to the success of the team and its delivery, and to help with continuous…",30,2022-05-04,Full-time
68,"NGD IT Quality Control Analyst Senior, Advisor",Anthem,3.6,Hingham,"it quality control analyst senior, advisor. we administer government contracts for medicare and partner with the centers for medicare and medicaid services to…",30,2022-05-04,Full-time
69,Technical Support Engineer - 4 p.m. to Midnight EST Shift,Wasabi Technologies LLC,,Boston,wasabi’s technical support engineer will bring aws storage experience and will be part of our technical support team. travel is not regularly required.,30,2022-05-04,Full-time
70,Program Manager,PTC Inc.,3.7,Boston,responsible forautomation tools to help enable business and technical process improvements. conducting periodic reviews to help the engineering team execute the…,1,2022-05-04,
71,Data Center Engineer (Greater Boston Area),Canonical - Jobs,,Boston,"as a data center engineer in canonical, you will be responsible for the day-to-day management and operations of our data center and labs in the boston area.",12,2022-05-04,
72,"Director, SumTotal Customer Success (Remote)",SumTotal,3.0,Boston,"the director, sumtotal customer success will lead and develop a high performing team responsible for managing a portfolio of clients ensuring customer retention…",8,2022-05-04,
73,Product Manager,"Aura Sub, LLC",3.4,Boston,"clearly communicate product plans, benefits, and results, as appropriate, to a spectrum of audiences, from internal stakeholders to aura executives, employees,…",1,2022-05-04,
74,Network Engineer I,Global Partners,2.4,Waltham,responsible for establishing protocols for end-users and network services providers to use the network in a safe and responsible manner.,30,2022-05-04,
75,"Associate Director , Quality Engineering",S&P Global,3.9,Boston,"using a wide range of cutting-edge technology to innovate while testing. understanding of development technologies e.g. html5, javascript, css, angularjs.",30,2022-05-04,"$82,600 - $190,100 a year"
76,Information Security Training Manager,Circle,3.7,Boston,managing the information security awareness training program for circle employees. minimum of 7 years of information security experience.,30,2022-05-04,
77,Financial Systems Analyst,IA Interior Architects,3.4,Boston,understand relational databases and troubleshoot between financial modules. maintain data integrity by analyzing computer information within the erp financial…,5,2022-05-04,
78,"Curriculum Engineering Manager, Curriculum Engineering","Amazon Web Services, Inc.",3.5,Boston,advanced knowledge of aws technologies. engage with other internal infrastructure teams and partners on building new technology to simplify training authoring…,30,2022-05-04,"$116,400 - $160,000 a year"
79,Support Engineer (CyberGrants),Bonterra,3.4,Andover,"additionally, the support engineer will be supporting clients to troubleshoot technical issues, identify program gaps, and to assist with configuration changes.",12,2022-05-04,Full-time
80,Software Engineer Applications REMOTE,Mass General Brigham(PHS),3.9,Somerville,the research information sciences & computing group of mass general brigham is looking for a software engineer to be a key member of the research patient data…,8,2022-05-04,Full-time
81,Professional Services Engineer,Nasuni,3.3,Boston,participate in discussions to help scope level of effort and configuration for deploying nasuni in the client’s environment.,12,2022-05-04,Full-time
82,Product Management Director,Houghton Mifflin Harcourt,3.5,Boston,location: remote (us) - this position offers remote flexibility with expectations of travel to boston based office 10% of the time.,12,2022-05-04,"$117,000 - $146,500 a year"
83,Technical Support Representative,CVS Health,3.2,Smithfield,"experience in a help desk/call center environment providing technical support in a retail environment. document problems, complete problem tickets, and request…",30,2022-05-04,Full-time
84,SE II - Front End (Remote Eligible),Smartsheet,3.9,Boston,evaluate new technologies to bring into our stack. 401k match to help you save for your future (50% of your contribution up to the first 6% of your eligible pay…,30,2022-05-04,
85,"Manager, Global IT Service Desk",EDB,3.6,Nashua,"5-7+ years of combined technology experience including a minimum of 2 years in a leadership capacity. in this highly visible and hands-on role, the manager,…",30,2022-05-04,
86,"Project Manager, Operations and Technology",Harvard University,4.3,Cambridge,"the role spans business analysis, vendor management, project management, and help desk support. skill in training and providing clear instruction and assistance…",30,2022-05-04,Full-time
87,Product Manager,Omnicell,3.5,Boston,"develop communications material, value propositions, product release artifacts, and high-level strategic justification to help explain the why of your product…",8,2022-05-04,
88,IT Software Distribution Spec,The Trustees of Tufts College,,Somerville,"the it software distribution specialist is responsible for managing distribution, managing license files, and handling requests of desktop/client software…",26,2022-05-04,
89,Blockchain Engineer (CuEx) at Institutional Digital Asset Co...,Recruiting From Scratch,,Boston,work closely with different blockchain experts to improve functionality on a variety of projects for multiple coins. solid understanding of algorithm design.,30,2022-05-04,"$100,000 - $150,000 a year"
90,Product Manager for Semiconductor Test Cybersecurity,Teradyne,4.1,North,"must have an understanding on network and security concepts, siem technologies. product manager – semiconductor test cybersecurity - (position can be remote).",9,2022-05-04,
91,Product Manager,"Aura Sub, LLC",3.4,Boston,"clearly communicate product plans, benefits, and results, as appropriate, to a spectrum of audiences, from internal stakeholders to aura executives, employees,…",1,2022-05-04,
92,Program Manager,PTC Inc.,3.7,Boston,responsible forautomation tools to help enable business and technical process improvements. conducting periodic reviews to help the engineering team execute the…,1,2022-05-04,
93,Software Training Specialist,eClinicalWorks,3.3,Westborough,travel to client sites and train end users (doctors and clinical staff) on ecw software and ancillary functionalities via one-on-one coaching and classroom…,30,2022-05-04,Full-time
94,Geographic Information Systems (GIS) Specialists / Project M...,Wood Plc,3.8,Boston,"the successful candidate will provide fema nfip program support associated with flood risk analysis, mapping, and related services on projects throughout the…",30,2022-05-04,
95,VP Human Resources,Heartland Water Technology,,Hudson,"given the stage of our business and our growth trajectory, we have decided the time is right to bring in an experienced human resource executive to drive…",1,2022-05-04,Full-time
96,Remote Customer Service Engineer III,"eClinical Solutions, LLC",2.9,Mansfield,"you will provide support to end-users by identifying, researching, and resolving problems and issues. provide instruction to users on new product features.",6,2022-05-04,Full-time
97,Senior Information Security Analyst - Remote,Commonwealth Care Alliance,3.4,Boston,"configure, implement, monitor, and support security software/systems that will help ensure compliance with regulatory, industry, and corporate policies and…",30,2022-05-04,
98,ITMS Program Manager VI,Mass Dept of Transportation,3.8,Boston,facilitates the itms program via the tracking and exchange of information; leads & coordinates weekly monthly and quarterly meetings of stake holders and…,25,2022-05-04,"$41,017 - $115,000 a year"
99,Digital Project Manager - REMOTE,OHO Interactive,4.5,Somerville,"our pms work collaboratively with clients to ensure a project's success, and facilitate the work of our internal team of strategists, designers and developers.",30,2022-05-04,Full-time
100,Principal System Engineer,"PAVmed, Inc.",,Foxborough,"participates in user evaluations of prototype designs, incorporates users feedback into iterative design revisions. occasional travel may be required.",1,2022-05-04,"$140,000 - $160,000 a year"
101,"Product Manager, E-Commerce UroPH (remote) Job",Boston Scientific Corporation,3.9,Marlborough,monitor developing ecommerce technology trends and competitive landscape to spark ideas for improvement. demonstrated experience with product management or…,1,2022-05-04,
102,IT/OT Infrastructure Engineer - Remote,WCL Group,,Andover,"$69-$73 per hour. 5/3/2022 – 11/12/2022 with the possibility of extension. the role includes systems upgrades, 24x7 operations, and implementing solutions that…",11,2022-05-04,$69 - $73 an hour
103,Service Architect II,Akamai,4.1,Cambridge,"as an internal consultant for the business, youll help design complex solutions to deliver serviceability and supportability.",18,2022-05-04,
104,Customer Support Engineer - Tier 3,Transmit Security,,Boston,develop expertise to train staff on new technologies. knowledge on authentication technologies such as fido-based biometrics.,25,2022-05-04,
105,Engineering Project Manager (Remote),Medically Home,2.6,Boston,balance engineering time allocation between customer-facing work and development of internal tasks and tools that improve efficiency and help to maintain…,13,2022-05-04,
106,"Scrum Master (Remote, US Candidates only)","Stratus Technologies, Inc.",3.8,Maynard,"creates, maintains, and shares relevant metrics and charts that are important to the success of the team and its delivery, and to help with continuous…",30,2022-05-04,Full-time
107,Business Information Systems Director,Biofourmis,,Boston,"10+ years of experience in in it operations, supervising technology teams, and overseeing large information technology projects. mba/masters in related field.",30,2022-05-04,
108,Data&Analytics Tech Consulting - Summer 2023 - Women's Consu...,PRICE WATERHOUSE COOPERS,4.0,Boston,"handle, manipulate and analyse data and information responsibly. communicating in an organized and knowledgeable manner & delivering clear requests for…",30,2022-05-04,Internship
109,Support Engineer (CyberGrants),Bonterra,3.4,Andover,"additionally, the support engineer will be supporting clients to troubleshoot technical issues, identify program gaps, and to assist with configuration changes.",12,2022-05-04,Full-time
110,"Technical Lead, Vice President (Remote)",State Street,3.5,Quincy,"you’ll have access to flexible work program to help you match your needs. demonstrate understanding of one or more of the following csps (azure, aws, google…",27,2022-05-04,Full-time
111,IT Project Manager (Remote Eligible),Mathematica Policy Research,3.7,Cambridge,"we collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…",1,2022-05-04,"$70,000 - $90,000 a year"
112,NIS- Red Team Engineer,PRICE WATERHOUSE COOPERS,4.0,Boston,"demonstrating high level understanding of the principles of information security engineering, architecture, and application security; and,.",25,2022-05-04,
113,Application Support Analyst (Eligible for Partial or Full Re...,Simmons University,4.3,Boston,the application support analyst will engage with the business users to provide oversight in the translation of complex business needs into requirements that can…,30,2022-05-04,Full-time
114,Cyber Risk Experienced Associate,PRICE WATERHOUSE COOPERS,4.0,Boston,"we help inform our clients on controls or requirements that require enhancements, and help with the compliance change management components driving new…",30,2022-05-04,
115,Business Systems Analyst,Harvard University,4.3,Cambridge,"develop peoplesoft dashboards and workcenters in order to provide users with self-service access to data, information, and analysis;",29,2022-05-04,Full-time
116,Product Manager - Remote,Thriveworks,3.6,Boston,"we are looking for a product manager to work across the entire therapist experience, ensuring that our providers have the tools they need.",12,2022-05-04,
117,Staff Software Engineer - Multi-Cloud - Opportunity for Work...,VMware,4.1,Boston,"experience working with two or more of the following areas: saas, distributed systems, information retrieval, web application development, graphql apis,…",30,2022-05-04,Full-time
118,Sr. Microsoft Teams / M365 Collaboration Engineer | Hybrid R...,Draper,3.9,Cambridge,"life-cycle management of active directory, azure ad users with microsoft identity manager / ad sync. experience with ssl certificates and encrypted/signed email…",14,2022-05-04,
119,"Software Product Manager, Identity Management - Remote",Pearson,3.7,Boston,"write, groom, and prioritize users' stories. the product manager for identity management provides leadership for multiple cross-functional software delivery…",1,2022-05-04,"$100,000 - $120,000 a year"
120,SFMC Architect (Remote),Epsilon,3.4,Boston,"we are looking for this individual to help build the knowledge base of technical leads and junior members within epsilon, as well as ensure consistency and…",1,2022-05-04,Full-time
121,Staff Software Engineer - Multi-Cloud - Opportunity for Work...,VMware,4.1,Boston,"experience working with two or more of the following areas: saas, distributed systems, information retrieval, web application development, graphql apis,…",30,2022-05-04,Full-time
122,Sr. Microsoft Teams / M365 Collaboration Engineer | Hybrid R...,Draper,3.9,Cambridge,"life-cycle management of active directory, azure ad users with microsoft identity manager / ad sync. experience with ssl certificates and encrypted/signed email…",14,2022-05-04,
123,"Software Product Manager, Identity Management - Remote",Pearson,3.7,Boston,"write, groom, and prioritize users' stories. the product manager for identity management provides leadership for multiple cross-functional software delivery…",1,2022-05-04,"$100,000 - $120,000 a year"
124,SFMC Architect (Remote),Epsilon,3.4,Boston,"we are looking for this individual to help build the knowledge base of technical leads and junior members within epsilon, as well as ensure consistency and…",1,2022-05-04,Full-time
125,US Technology Tech Lead,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
126,Technical Support Specialist III (Remote/ Field),Thermo Fisher Scientific,3.5,Boston,"we are responsible for supporting the installation, uptime and repair of complex equipment and systems. this includes working with r&d (research & development),…",30,2022-05-04,Full-time
127,Scrum Master,Mass General Brigham(PHS),3.9,Somerville,"by leveraging other frameworks that will help enable agility for our entire organization, which is a complex, multi-campus organization.",30,2022-05-04,Full-time
128,"Manager, Network Operations Center",Abarca Health,3.3,Boston,you can't help organizing other people's desks and we can safely assume your legos are neatly stored by color and type and all hell will break loose if someone…,22,2022-05-04,
129,Technical Support Analyst,Optum,3.4,in,ability to communicate complex technical concepts effectively with the internal teams and to adjust the level of detail and complexity when communicating with…,4,2022-05-04,Full-time
130,Senior Product Manager - REMOTE,RealPage,3.3,Boston,"proven expertise leading cross-functional teams that together launch on-time and on-budget with desktop, web or mobile software product offerings.",1,2022-05-04,Full-time
131,"Senior Director, Internal Communications",SidekickHealth,,Boston,"as a senior director, internal communications your mission will be to ensure our fast-growing, hybrid organization stays informed, aligned, and motivated.",12,2022-05-04,Full-time
132,Microsoft O365 Engineer,Continental Resources,4.1,Bedford,ability to translate customer business needs into technology specifications. maintain and willing to adapt with microsoft cloud technologies including all…,18,2022-05-04,Full-time
133,Systems Administrator,"Odyssey Systems Consulting Group, Ltd.",,Lexington,"they will also be responsible for desktop work including imaging, software installs, printer maintenance, troubleshooting and deployment.",30,2022-05-04,Full-time
134,NOC APC Technician,Amwell,3.8,Boston,ability to assist and support users remotely and in-person to troubleshoot and resolve hardware related problems in desktops and associated peripherals.,25,2022-05-04,
135,Reliability Engineer,Starry,3.5,Boston,"our network operations turn up team assesses new sites, qas them for serviceability, and prepares them in a timely manner to move to production.",30,2022-05-04,$32 - $35 an hour
136,Reliability Engineer,Starry,3.5,Boston,"our network operations turn up team assesses new sites, qas them for serviceability, and prepares them in a timely manner to move to production.",30,2022-05-04,$32 - $35 an hour
137,Customer Solutions Engineer,Tulip Interfaces,3.0,Somerville,"you're flexible and can thrive in environments that don't have defined processes, and you're excited to help build those processes.",30,2022-05-04,
138,Senior Technical Support Engineer - Hyperscaler CCoE - Oppor...,VMware,4.1,Boston,"experience trouble-shooting firewall technology (pix, checkpoint). gss provides time-zone optimized coverage throughout five support centers globally.",30,2022-05-04,Full-time
139,Okta Specialist - Remote/Delivery Center Role,Deloitte,4.0,Boston,"from our centers, we work with deloitte consultants to design, develop and build solutions to help clients reimagine, reshape and rewire the competitive fabric…",30,2022-05-04,Full-time
140,Enterprise Applications Support Delivery Lead (Open to remot...,Converse,4.0,Boston,implement relevant monitoring tool and processes to help with overall application stability and end to end observability. computers have their own language.,30,2022-05-04,"$121,125 a year"
141,"Manager, Global IT Service Desk",EDB,3.6,Nashua,"5-7+ years of combined technology experience including a minimum of 2 years in a leadership capacity. in this highly visible and hands-on role, the manager,…",30,2022-05-04,
142,Network Infrastructure Operations Engineer - Remote,Akamai,4.1,Cambridge,"linode’s network infrastructure operations team is responsible for the planning,installation, repairs, upgrades, configuration, and maintenance of linode’s…",25,2022-05-04,
143,(Web) Product Manager,Cozymeal,3.8,Boston,"history off ensuring that all content and consumer journeys are optimized for user experience and delivering the best experience across mobile, tablet and…",1,2022-05-04,Part-time
144,Systems Administrator DSG - Corporate - Distributed Server G...,Connection,3.2,Merrimack,takes the initiative when alerts and/or failures occur to troubleshoot and isolate the source of issues while leveraging team resources in this effort.,8,2022-05-04,Full-time
145,Product Manager,Orbita,4.2,Boston,bachelor’s degree in business or technology or similar work experience. at ease with technology and understand how to use it to solve business problems.,30,2022-05-04,
146,Entry Level Digital Transformation Consultant,NTT DATA,3.4,Boston,recommendations by professors and internship supervisors for technical abilities and grasp of multiple technologies. must be a us citizen or green card holder.,30,2022-05-04,Full-time
147,Product Manager,BlueConic,,Boston,"technical proficiency with marketing technology, advertising technology, and/or customer analytics. help build the best marketing technology product there is.",30,2022-05-04,Full-time
148,Technical Consultant,ACI Worldwide,3.4,Boston,"must learn to identify information needed to clarify a risk or business situation, seeking that information from appropriate sources and use skillful…",30,2022-05-04,Full-time
149,Technical Coordinator,Human Services Research Institute,4.0,Cambridge,the data systems we develop give stakeholders the insights they need to assess and address disparities in healthcare and well-being and to help produce…,30,2022-05-04,Full-time
